Wall time,Step,Value
1615731360.4070725,557,1.324082374572754
1615731360.5200822,563,1.8801743984222412
1615731360.707245,573,1.6677558422088623
1615731360.8160691,579,1.5968968868255615
1615731360.8520634,581,1.9226977825164795
1615731360.9416604,586,1.9068814516067505
1615731360.9600089,587,1.6886260509490967
1615731369.821468,602,1.63584303855896
1615731370.191523,620,1.5521464347839355
1615731370.2277803,622,1.5193374156951904
1615731370.4459229,634,1.5614900588989258
1615731370.570958,641,1.6296360492706299
1615731370.5890398,642,1.4928395748138428
1615731370.6246157,644,1.719984769821167
1615731370.6785846,647,1.788665771484375
1615731370.7145567,649,1.4824223518371582
1615731370.9333422,661,1.5934139490127563
1615731371.1196747,671,1.5363259315490723
1615731371.175806,674,1.7979142665863037
1615731371.3402326,683,1.6325887441635132
1615731371.4300067,688,1.4779536724090576
1615731380.4715145,714,1.3739103078842163
1615731380.5426197,718,1.7416136264801025
1615731380.6153076,722,1.6723623275756836
1615731380.6343079,723,1.4649274349212646
1615731380.765615,730,1.589678406715393
1615731380.9278326,739,1.6585651636123657
1615731381.0015945,743,1.4347631931304932
1615731381.0758045,747,1.4374533891677856
1615731381.1646802,752,1.7172560691833496
1615731381.2400048,756,1.4226406812667847
1615731381.4103146,765,1.447849988937378
1615731390.1563177,703,1.5161519050598145
1615731390.1743445,704,1.509517788887024
1615731390.193951,705,1.4648773670196533
1615731390.230046,707,1.619584560394287
1615731390.364558,714,1.4075804948806763
1615731390.4561408,719,1.5632821321487427
1615731390.492358,721,1.4765300750732422
1615731390.5810208,726,1.6607249975204468
1615731390.616251,728,1.688965916633606
1615731390.6898067,732,1.3871923685073853
1615731390.7606933,736,1.584187626838684
1615731390.8708959,742,1.5960230827331543
1615731390.88891,743,1.3984582424163818
1615731391.3508475,766,1.5256068706512451
1615731391.4226897,770,1.5565105676651
1615731400.4241462,803,1.5323864221572876
1615731400.5153062,808,1.396913766860962
1615731400.552481,810,1.4620418548583984
1615731400.6646783,816,1.33798086643219
1615731400.8088284,824,1.545642375946045
1615731400.9215195,830,1.2735826969146729
1615731400.9949756,834,1.5735362768173218
1615731401.1211646,841,1.5671391487121582
1615731401.156853,843,1.5117725133895874
1615731401.2663167,849,1.464641809463501
1615731401.302349,851,1.4731496572494507
1615731401.5545802,865,1.4990191459655762
1615731401.5725589,866,1.5179990530014038
1615731401.7538202,876,1.5142621994018555
1615731401.807939,879,1.1481735706329346
1615731401.974459,888,1.3424378633499146
1615731402.0522206,892,1.42300546169281
1615731402.1249726,896,1.5965131521224976
1615731410.8491013,905,1.264284610748291
1615731410.8709538,906,1.4990684986114502
1615731410.986501,912,1.5489367246627808
1615731411.0055056,913,1.3870724439620972
1615731411.0969155,918,1.677710771560669
1615731411.3139606,930,1.4400999546051025
1615731411.4208517,936,1.2576221227645874
1615731411.4767323,939,1.392540454864502
1615731411.645268,948,1.3993490934371948
1615731411.6988466,951,1.3008919954299927
1615731411.8430152,959,1.344238519668579
1615731412.190333,978,1.257777214050293
1615731412.4265106,991,1.3708447217941284
1615731412.5348089,997,1.126970887184143
1615731412.5888019,1000,1.3519301414489746
1615731421.3009238,1002,1.3192023038864136
1615731421.3747456,1006,1.37192702293396
1615731421.4847865,1012,1.4182082414627075
1615731421.5829525,1017,1.3444840908050537
1615731421.7679727,1027,1.1856637001037598
1615731421.876689,1033,1.5021898746490479
1615731421.9475818,1037,1.4708106517791748
1615731421.9655213,1038,1.424010992050171
1615731422.1768024,1048,1.2901157140731812
1615731422.2696805,1053,1.287563443183899
1615731422.9393506,1090,1.2840205430984497
1615731423.0123138,1094,1.2375375032424927
1615731423.0300524,1095,1.243730902671814
1615731423.048047,1096,1.2253062725067139
1615731431.943821,1114,1.5452566146850586
1615731432.1650634,1126,1.1300342082977295
1615731432.183019,1127,1.4642512798309326
1615731432.290104,1133,1.2687007188796997
1615731432.4150088,1140,1.326309323310852
1615731432.9210162,1166,1.3895916938781738
1615731432.9575243,1168,1.3729902505874634
1615731433.1390283,1178,1.3930162191390991
1615731433.341926,1189,1.3829119205474854
1615731433.3968997,1192,1.225117564201355
1615731433.4500518,1195,1.1485737562179565
1615731442.4185994,1215,1.3392928838729858
1615731442.528011,1221,1.2545496225357056
1615731442.6530368,1228,1.2195048332214355
1615731442.7614646,1234,1.1856966018676758
1615731442.9436028,1244,1.3158940076828003
1615731443.0543616,1250,0.9306233525276184
1615731443.1087642,1253,1.3145009279251099
1615731443.3089657,1264,1.0973117351531982
1615731443.3625128,1267,0.891200840473175
1615731443.4205735,1270,1.253928303718567
1615731443.4408543,1271,1.3060961961746216
1615731452.8825176,1319,1.2582318782806396
1615731452.9371245,1322,1.260963797569275
1615731452.9945502,1325,1.3305716514587402
1615731453.0132525,1326,1.1887785196304321
1615731453.4117362,1348,1.247626781463623
1615731453.631495,1360,1.3314992189407349
1615731453.6677952,1362,1.2297567129135132
1615731453.739093,1366,1.0454182624816895
1615731453.8122914,1370,1.1819677352905273
1615731453.8847973,1374,1.3296674489974976
1615731454.3483098,1399,1.1845128536224365
1615731454.3658834,1400,0.9920551180839539
1615731463.1426408,1411,1.2564069032669067
1615731463.2900977,1419,1.1338703632354736
1615731463.3609633,1423,1.1048893928527832
1615731463.397865,1425,1.112368106842041
1615731463.5800653,1435,1.3583950996398926
1615731463.7279477,1442,1.0969905853271484
1615731463.9991372,1457,1.0353977680206299
1615731464.0704038,1461,1.1467643976211548
1615731473.2580004,1419,1.1871263980865479
1615731473.277919,1420,1.1610125303268433
1615731473.5656996,1436,1.018286943435669
1615731473.5826962,1437,1.2601436376571655
1615731473.8591192,1452,1.078837513923645
1615731473.931039,1456,1.3305548429489136
1615731474.0936713,1465,1.1577712297439575
1615731474.2221687,1472,0.9880209565162659
1615731474.2401388,1473,1.2347434759140015
1615731474.5039604,1486,1.3189271688461304
1615731474.6681654,1495,0.9489101767539978
1615731474.7623506,1500,1.2381972074508667
1615731483.2700548,1505,1.1321485042572021
1615731483.324289,1508,1.0765573978424072
1615731483.4252748,1513,0.9779241681098938
1615731483.4802403,1516,0.9205803871154785
1615731483.6964378,1528,1.2284075021743774
1615731483.8720229,1536,1.1584765911102295
1615731484.0010881,1543,1.0685949325561523
1615731484.127269,1550,0.9921594858169556
1615731484.2891803,1559,0.9584857821464539
1615731484.3630297,1563,1.5053480863571167
1615731484.3810713,1564,1.320547103881836
1615731484.3989618,1565,1.1398265361785889
1615731484.4349377,1567,1.2416291236877441
1615731484.488589,1570,1.212376594543457
1615731484.6168973,1577,1.361839771270752
1615731484.781725,1586,1.0346529483795166
1615731484.968315,1596,1.1987775564193726
1615731485.0468407,1600,1.0283323526382446
1615731493.4980946,1602,1.2224658727645874
1615731493.5542574,1605,1.0541365146636963
1615731493.6479337,1610,0.9847149848937988
1615731493.7061322,1613,1.0625215768814087
1615731493.725474,1614,1.0743600130081177
1615731493.7444034,1615,0.9618165493011475
1615731494.08941,1634,1.5433357954025269
1615731494.253102,1643,1.3487690687179565
1615731494.360936,1649,1.0630003213882446
1615731494.4917662,1656,1.2025728225708008
1615731494.5107238,1657,1.2127647399902344
1615731494.6777074,1666,1.2908122539520264
1615731494.8066857,1673,1.2218348979949951
1615731495.025831,1685,1.217138409614563
1615731495.1893263,1694,0.9428287744522095
1615731495.2614346,1698,1.1587179899215698
1615731504.4496415,1708,0.9256854057312012
1615731504.5282018,1712,1.0105403661727905
1615731504.6991515,1721,0.8925975561141968
1615731504.9352353,1734,0.9040722846984863
1615731504.991853,1737,1.0834871530532837
1615731505.1015196,1743,1.315040111541748
1615731505.1377473,1745,0.9129800796508789
1615731505.7653046,1779,1.0369558334350586
1615731505.873541,1785,1.0883777141571045
1615731515.0951812,1802,1.0903172492980957
1615731515.1407595,1804,1.105688452720642
1615731515.1840699,1806,1.0304731130599976
1615731515.3131137,1812,0.9624716639518738
1615731515.3723407,1815,1.069706916809082
1615731515.409347,1817,1.233412265777588
1615731515.7529297,1835,1.0040953159332275
1615731516.0203547,1849,1.0583189725875854
1615731516.057719,1851,0.9517602324485779
1615731516.4302096,1869,0.9931591749191284
1615731516.5100794,1873,0.7254360914230347
1615731516.657055,1881,1.2848260402679443
1615731516.7296302,1885,0.8016372323036194
1615731516.940538,1895,0.8852439522743225
1615731517.0032299,1898,1.0748172998428345
1615731526.118658,1904,1.003115177154541
